Year,Force,HOMICIDE,Harassment,Kidnapping,TOTAL ROBBERY,Domestic burglary,Shoplifting,TOTAL THEFT OFFENCES,Arson,Criminal damage,TOTAL DRUG OFFENCES,TOTAL POSSESSION OF           WEAPONS OFFENCES,TOTAL  - ALL OFFENCES
2003,Nottinghamshire,15,496,55,2556,15980,9421,101887,1584,24604,2830,829,155606
2003,South Wales,17,922,20,751,7275,7114,77131,1324,26952,3837,753,134383
2003,South Yorkshire,13,452,41,1400,13455,7607,86545,1444,29392,3191,748,139344
2003,Staffordshire,10,916,36,909,6165,5531,52691,1058,22985,2586,550,106808
2003,Suffolk,9,219,14,290,2385,3150,24985,656,12075,1923,459,51603
2003,Surrey,7,212,48,619,3914,3827,40388,705,15788,1689,322,70711
2003,Sussex,15,744,64,1425,7920,7077,73818,1376,27298,3050,1002,130015
2003,Thames Valley,21,1674,64,2286,14505,11175,126931,1786,35306,5404,1094,205637
2003,Warwickshire,5,99,16,456,3192,2307,25735,492,8809,944,156,44291
2003,West Mercia,18,1096,48,689,5925,6211,52188,1089,22332,2218,545,103649
2003,West Midlands,53,3798,266,10371,26636,17524,183291,3200,55542,8656,2806,328436
2003,West Yorkshire,43,2109,143,3738,30127,13974,189415,3256,64467,5295,1254,319377
2003,Wiltshire,3,95,11,328,2553,2516,23219,397,9013,971,273,41727
2004,Avon and Somerset,19,1198,80,2237,9586,8087,84205,1638,29478,2739,895,156501
2004,Bedfordshire,8,294,49,1028,3917,3384,30439,506,9982,1131,539,55130
2004,British Transport Police,10,34,16,2037,2,1382,42823,346,12361,3208,690,76742
2004,Cambridgeshire,13,505,29,634,3034,3630,38442,813,15258,1174,405,71650
2004,Cheshire,10,419,32,533,4236,5132,43614,1044,23209,1546,413,87895
2004,Cleveland,7,158,35,898,4572,4344,35116,675,16101,1451,417,67957
2004,Cumbria,10,145,19,109,1475,2507,17573,461,12265,1321,221,42285
2004,Derbyshire,10,635,32,802,5051,3810,41925,720,17093,2023,618,82260
2004,Devon and Cornwall,27,624,27,541,5706,7214,61431,1498,29356,4356,911,129270
2004,Dorset,7,707,24,342,2616,3308,29202,683,11569,1577,418,55736
2004,Durham,4,206,19,178,2465,2392,21539,525,14575,1062,381,46273
2004,Dyfed-Powys,4,93,8,41,1042,1513,11671,238,7851,2327,285,31723
2004,Essex,13,1432,48,1426,5874,8489,66450,1344,30863,2328,1074,131616
2004,Gloucestershire,9,217,25,384,2741,3108,27503,466,10224,1218,335,50839
2004,Greater Manchester,59,1261,187,7544,27196,13343,166798,2882,70213,6703,2487,317691
2004,Gwent,10,369,26,351,2583,2806,26505,591,12669,1332,307,56143
2004,Hampshire,17,1814,82,948,5415,11195,77126,1567,40348,3773,1213,168129
2004,Hertfordshire,14,448,22,875,5385,5960,50498,729,19807,1754,674,93227
2004,Humberside,16,437,43,1262,7795,6643,63586,1424,26288,2048,719,122514
2004,Kent,16,648,54,1195,6753,8495,69445,1345,33669,2170,764,134226
2004,Lancashire,30,1554,67,1092,6695,8254,67396,1673,38944,3411,1045,148150
2004,Leicestershire,9,1968,60,1329,5774,4428,45456,831,17903,1942,535,92706
2004,Lincolnshire,3,119,22,243,2687,3098,27836,716,14055,951,489,56899
2004,City of London City of,0,127,3,42,34,836,5173,4,304,876,127,7846
2004,Merseyside,46,827,93,2173,10951,8340,81228,1530,39761,5649,1106,168589
